Γ¥î CONFLICT FOUND on [MON|16:30-18:30|CC-3-5007]:
   - PM at 16:30-18:30 in CC-3-5007
   - PS at 16:30-18:30 in CC-3-5007
Γ¥î CONFLICT FOUND on [FRI|16:30-18:30|CC-3-5006]:
   - LA at 16:30-18:30 in CC-3-5006
   - LA at 16:30-18:30 in CC-3-5006
Γ¥î OVERLAP FOUND in CC-3-5006 on FRI:
   - SE at 14:30-17:30 in CC-3-5006 (14:30-17:30)
   - LA at 16:30-18:30 in CC-3-5006 (16:30-18:30)
Γ¥î OVERLAP FOUND in CC-3-5006 on FRI:
   - SE at 14:30-17:30 in CC-3-5006 (14:30-17:30)
   - LA at 16:30-18:30 in CC-3-5006 (16:30-18:30)
Γ¥î OVERLAP FOUND in CC-2-4205 on FRI:
   - MSP at 14:30-17:30 in CC-2-4205 (14:30-17:30)
   - MSP at 16:30-18:30 in CC-2-4205 (16:30-18:30)
Found 36 conflicts!
